#,タイトル,ステータス,公開日,記事タイプ,カテゴリ,メインKW,文字数,アフィリ数,内部リンク数,URL,備考
11,海外移住前の準備リスト完全版【2026年】やることを時系列でまとめた,リライト済,,集客記事,移住準備・お金,海外移住 準備リスト,,5,4,https://nambei-oyaji.com/moving-abroad-checklist/,【Action】具体的な行動の一歩目｜チェックリスト→カード申込導線
12,海外在住者向けクレジットカード比較【2026年版】移住前に作るべきカード3選,公開済み,2026-03-15,キラー記事,移住準備・お金,海外在住 クレジットカード,,2,3,https://nambei-oyaji.com/best-credit-cards-for-expats/,★キラー★ WP ID:2013｜エポス2600円/件｜準備リストから直結の高CVR
13,パラグアイで銀行口座を開設する方法【外国人向け完全ガイド2026年版】,リライト済,,集客記事,移住準備・お金,パラグアイ 銀行口座 開設,,1,3,https://nambei-oyaji.com/paraguay-bank-account/,お金の管理の具体策→送金記事への導線
14,海外送金サービス徹底比較【2026年版】Wise・Revolut・PayPal・銀行送金の手数料と実質コストを完全解説,公開済み,2026-03-08,キラー記事,移住準備・お金,海外送金 比較,,9,4,https://nambei-oyaji.com/international-money-transfer-comparison/,★キラー★ WP ID:1070 正式記事公開済｜Wise+Revolut+SonyBank アフィリ｜2026-03-10 品質レビュー: 軽微な修正のみ
15,パラグアイのインターネット・通信事情を在住者が解説｜速度・料金・SIMカード【2026年版】,ドラフト,,集客記事,パラグアイ生活,パラグアイ インターネット 通信,,2,4,https://nambei-oyaji.com/paraguay-internet-connectivity/,リモートワーカーの「ネット大丈夫？」→VPN導線
16,海外生活で必須のVPN おすすめ3選【2026年最新比較】日本のサービスに接続するならコレ,公開済み,2026-03-14,キラー記事,移住準備・お金,海外 VPN おすすめ,,3,2,https://nambei-oyaji.com/best-vpn-for-expats/,★キラー★ WP ID:2012｜NordVPN 3000-5000円/件｜通信記事からの自然な導線
17,海外移住後の働き方・収入源5選【2026年版】パラグアイ在住者が実践中の方法,公開済み,2026-03-08,キラー記事,海外で稼ぐ,海外移住 働き方,,7,3,https://nambei-oyaji.com/working-after-moving-abroad/,【Desire】WP ID:1069 正式記事公開済｜2026-03-10 品質レビュー: strong tag修正・プレースホルダーアフィリURL置換
18,パラグアイから日本の仕事をリモートでやる方法【在住者が解説】2026年版,リライト済,,収益記事,海外で稼ぐ,パラグアイ リモートワーク 日本,,3,3,https://nambei-oyaji.com/paraguay-remote-work-japan/,働き方ハブから直結｜「日本の仕事を続けられる」安心感
19,海外移住者が身につけるべきスキル3選【在住者が断言】移住前にこれだけは準備して,リライト済,,収益記事,海外で稼ぐ,海外移住 スキル,,5,3,https://nambei-oyaji.com/essential-skills-for-expats/,「何を学べばいい？」→次週スクールで回答｜期待値を上げるフリ
20,海外移住前に受けておくべきオンラインスクール5選【2026年版】移住後に稼ぐためのスキル投資,公開済み,2026-03-15,キラー記事,海外で稼ぐ,海外移住 オンラインスクール,,2,4,https://nambei-oyaji.com/best-online-schools-before-moving-abroad/,★最高単価キラー★ WP ID:2014｜DMM WEBCAMP 10000円/件
21,パラグアイの教育事情を在住者が解説｜インターナショナルスクールの学費・選び方【2026年版】,ドラフト,,集客記事,子育て・教育,パラグアイ 教育 インターナショナルスクール,,1,3,https://nambei-oyaji.com/paraguay-education-international-schools/,家族クラスター開始｜「子供は大丈夫？」に回答
22,子連れ海外移住の準備と注意点【在住者が解説】家族4人でパラグアイに移住した体験談,公開済み,2026-03-08,収益記事,子育て・教育,子連れ 海外移住 準備,,3,4,https://nambei-oyaji.com/moving-abroad-with-kids/,教育記事とセット｜WP ID:1068 正式記事公開済｜2026-03-10 品質レビュー: strong tag修正
23,パラグアイの医療・保険事情【在住者が解説】病院の選び方から保険加入まで,リライト済,,集客記事,健康・医療,パラグアイ 医療 保険,,1,4,https://nambei-oyaji.com/paraguay-healthcare-insurance/,家族の安心を担保→保険キラーへの導線
24,海外在住者向け保険徹底比較【2026年版】SafetyWing・グローブパートナー・クレカ保険どれが最適？,ドラフト,,キラー記事,健康・医療,海外在住 保険 比較,,3,3,https://nambei-oyaji.com/best-insurance-for-expats/,★キラー★ SafetyWing継続報酬+エポス5000-8000円/件｜医療記事の直後
25,海外生活ブログの始め方【2026年版】サーバー選びからWordPress開設まで完全ガイド,公開済み,2026-03-15,キラー記事,海外で稼ぐ,海外 ブログ 始め方,,2,3,https://nambei-oyaji.com/start-a-blog-from-abroad/,★キラー★ WP ID:2015｜ConoHa WING 5000-12000円/件
26,海外生活ブログで収益化する方法【2026年版】アフィリエイト・アドセンス・デジタル商品,リライト済,,収益記事,海外で稼ぐ,海外ブログ 収益化,,2,3,https://nambei-oyaji.com/monetize-expat-blog/,ブログ始め方とセット｜「始めたら次は収益化」の流れ
27,パラグアイの言語事情を在住者が解説｜スペイン語・グアラニー語・英語の通用度【2026年版】,ドラフト,,集客記事,パラグアイ生活,パラグアイ 言語 スペイン語,,2,3,https://nambei-oyaji.com/paraguay-languages/,言語の壁→スペイン語学習への自然な導線
28,オンラインスペイン語学習サービス比較【2026年版】初心者におすすめの3選,公開済み,2026-03-15,キラー記事,海外で稼ぐ,スペイン語 オンライン 学習,,2,3,https://nambei-oyaji.com/best-online-spanish-courses/,★キラー★ WP ID:2016｜ネイティブキャンプ1100円/件
29,パラグアイの日本人コミュニティ事情【在住者が語る】移住後の日本人ネットワーク活用法,リライト済,,集客記事,パラグアイ生活,パラグアイ 日本人 コミュニティ,,0,3,https://nambei-oyaji.com/paraguay-japanese-community/,「孤独にならない」安心感→ホームシック記事へ
30,海外移住のホームシック対策｜メンタルを守る7つの方法【在住者が実践】,ドラフト,,収益記事,移住準備・お金,海外移住 メンタル ホームシック 対策,,2,2,https://nambei-oyaji.com/overcoming-homesickness-abroad/,コミュニティ記事とセット｜VPNアフィリ再訴求
31,海外移住の持ち物リスト完全版【2026年】日本から持っていくべきもの・不要だったもの,ドラフト,,集客記事,移住準備・お金,海外移住 持ち物 リスト,,0,3,https://nambei-oyaji.com/packing-list-moving-abroad/,準備リスト記事の補完｜行動を具体化
32,海外在住者の年金・社会保険・手続きガイド【2026年版】出国前にやるべきこと,ドラフト,,収益記事,移住準備・お金,海外在住 年金 社会保険 手続き,,2,2,https://nambei-oyaji.com/pension-social-insurance-for-expats/,持ち物+年金で「出国前の手続き」クラスター｜freee導線
33,海外在住者の確定申告・税金ガイド【2026年版】非居住者の手続きを徹底解説,ドラフト,,収益記事,移住準備・お金,海外在住 確定申告 税金,,2,3,https://nambei-oyaji.com/tax-guide-for-expats/,税金記事とセット｜freee導線あり
34,海外移住後のリモートワーク完全ガイド【2026年版】準備・環境・税金まで,リライト済,,収益記事,海外で稼ぐ,海外移住 リモートワーク,,3,5,https://nambei-oyaji.com/remote-work-guide-for-expats/,全ワーク記事をまとめるハブ記事｜内部リンク集約
35,海外在住Webライターの始め方【2026年版】未経験から月5万円稼ぐロードマップ,リライト済,,収益記事,海外で稼ぐ,海外在住 Webライター,,4,3,https://nambei-oyaji.com/freelance-writing-from-abroad/,具体的な稼ぎ方の追加選択肢
36,海外在住者がプログラミング副業で稼ぐ方法【2026年版】未経験からのロードマップ,ドラフト,,収益記事,海外で稼ぐ,海外在住 プログラミング 副業,,4,3,https://nambei-oyaji.com/programming-side-hustle-abroad/,スクール記事・スキル記事とセット｜TechAcademy等アフィリ再訴求
37,海外在住者が動画編集・SNS運用代行で稼ぐ方法【2026年版】未経験から月5万円,ドラフト,,収益記事,海外で稼ぐ,海外在住 動画編集 SNS運用 副業,,4,3,https://nambei-oyaji.com/video-editing-sns-side-hustle-abroad/,稼ぎ方の選択肢追加｜クラウドソーシング導線
38,海外在住者がオンライン物販（eBay・メルカリ）で稼ぐ方法【2026年版】,ドラフト,,収益記事,海外で稼ぐ,海外在住 物販 eBay メルカリ 副業,,3,2,https://nambei-oyaji.com/online-selling-ebay-mercari-abroad/,働き方記事・送金記事とセット｜発送代行アフィリ
39,パラグアイからリモート事務代行で稼ぐ方法【在住者が解説】時差を活かした働き方,リライト済,,実験記事,海外で稼ぐ,リモート事務代行 海外,,3,3,https://nambei-oyaji.com/remote-admin-assistant-paraguay/,ニッチな稼ぎ方の選択肢追加
40,海外ノマドにおすすめの国5選【2026年版】生活費・ビザ・ネット環境を徹底比較,ドラフト,,収益記事,海外で稼ぐ,海外ノマド おすすめ 国,,3,5,https://nambei-oyaji.com/best-countries-for-digital-nomads/,他国との比較で改めてパラグアイの魅力を再確認させる
41,パラグアイの賃貸・住まい事情を在住者が解説｜家賃相場・探し方・契約の注意点【2026年版】,ドラフト,,集客記事,パラグアイ生活,パラグアイ 賃貸 アパート 家賃,,0,3,https://nambei-oyaji.com/paraguay-rental-housing/,不動産記事とセット｜住居クラスター
42,パラグアイの不動産事情【在住者が解説】外国人の購入方法・価格相場・投資利回り2026年版,リライト済,,集客記事,移住準備・お金,パラグアイ 不動産 購入,,0,3,https://nambei-oyaji.com/paraguay-real-estate/,賃貸→購入の自然な流れ
43,パラグアイで起業する方法｜法人設立の種類・費用・手続きを在住者が解説【2026年版】,ドラフト,,集客記事,起業・ビジネス,パラグアイ 起業 ビジネス 法人設立,,0,3,https://nambei-oyaji.com/starting-a-business-in-paraguay/,税金記事・永住権記事とセット｜上級者向け
44,パラグアイの交通事情を在住者が解説｜バス・タクシー・Bolt・車の買い方【2026年版】,ドラフト,,集客記事,パラグアイ生活,パラグアイ 交通 移動手段,,0,3,https://nambei-oyaji.com/paraguay-transportation/,移住後の移動手段を網羅
45,パラグアイの水道・電気・ガス事情を在住者が解説｜料金・品質・契約方法【2026年版】,ドラフト,,集客記事,パラグアイ生活,パラグアイ 水道 電気 ガス,,0,3,https://nambei-oyaji.com/paraguay-utilities/,生活インフラ情報の補完
46,パラグアイのスーパー・買い物事情を在住者が解説｜主要チェーンから日本食材まで【2026年版】,ドラフト,,集客記事,パラグアイ生活,パラグアイ スーパー 買い物,,0,3,https://nambei-oyaji.com/paraguay-supermarkets-shopping/,生活費記事との相互リンク
47,パラグアイで日本食は食べられる？レストラン・食材事情を在住者が解説【2026年版】,ドラフト,,集客記事,パラグアイ生活,パラグアイ 日本食 レストラン,,0,3,https://nambei-oyaji.com/paraguay-japanese-food/,食文化記事・買い物記事とセット
48,パラグアイの子育て・教育費を在住パパが徹底解説｜学費・習い事・制服代【2026年版】,ドラフト,,集客記事,子育て・教育,パラグアイ 子育て 教育費,,0,3,https://nambei-oyaji.com/paraguay-childcare-education-cost/,教育・子連れ移住クラスター強化
49,パラグアイの子供の習い事・スポーツ事情【在住者が解説】月謝・種類・日本との比較,ドラフト,,集客記事,子育て・教育,パラグアイ 子供 習い事 スポーツ,,0,3,https://nambei-oyaji.com/paraguay-kids-activities-sports/,教育・子連れ移住クラスター強化
50,パラグアイの祝日・文化・イベントを在住者が解説｜年間行事カレンダー【2026年版】,ドラフト,,集客記事,パラグアイ生活,パラグアイ 祝日 文化 イベント,,0,3,https://nambei-oyaji.com/paraguay-holidays-culture-events/,文化面の魅力を伝える｜ロングテールSEO
51,データ入力の副業を自動化する方法【2026年】時給3倍にした全手順,ドラフト,,収益記事,海外で稼ぐ,データ 入力 副業 自動化,,2,0,https://nambei-oyaji.com/data-entry-automation/,WP ID:2055｜クラウドワークス・ココナラアフィリ
52,おすすめAIアプリで副業を始める方法【2026年最新】パラグアイ在住者が実践中の稼ぎ方7選,ドラフト,,収益記事,海外で稼ぐ,おすすめ ai アプリ 副業,,4,0,https://nambei-oyaji.com/ai-app-sidejob/,WP ID:2056｜クラウドワークス・ココナラ・NordVPN・DMM WEBCAMPアフィリ
53,AI副業おすすめツール7選【2026年版】海外在住者が実際に使って稼いだ方法,ドラフト,,収益記事,海外で稼ぐ,ai 副業 おすすめ ツール,,2,3,https://nambei-oyaji.com/ai-sidejob-tools/,WP ID:2057｜クラウドワークス・ココナラアフィリ
54,AI副業におすすめのサイト7選【2026年最新】海外在住者が実際に使って稼いだプラットフォーム,ドラフト,,収益記事,海外で稼ぐ,ai 副業 おすすめ サイト,,2,3,https://nambei-oyaji.com/ai-sidejob-sites/,WP ID:2058｜クラウドワークス・ココナラアフィリ
