filename,title,description,keywords,category,subcategory,style,colors,ai_generated,releases,adobe_category,shutterstock_category
stock_0010_pattern_floral.png,ArtDeco Watercolor Seamless Pattern - Coral Variant,"Seamless tileable art deco pattern in watercolor painting style with coral, gold color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, coral, warm, sunset, warm tones, golden",geometric,art deco,watercolor,"coral, gold",Yes,Not Required,Abstract,Geometric
stock_0011_pattern_floral.png,ArtDeco Watercolor Seamless Pattern - Navy Variant,"Seamless tileable art deco pattern in watercolor painting style with navy, gold, cool ocean color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, navy, navy blue, dark blue, premium, golden",geometric,art deco,watercolor,"navy, gold, cool ocean",Yes,Not Required,Abstract,Geometric
stock_0012_pattern_floral.png,ArtDeco Hand-Drawn Seamless Pattern - Pastel Variant,"Seamless tileable art deco pattern in hand-drawn sketch style with pastel, pink, mint, gold, green color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, hand drawn, sketch, line art, ink, doodle, illustration, drawing, handmade, organic, freehand, pastel, pastel colors, soft colors, light",geometric,art deco,hand-drawn,"pastel, pink, mint, gold, green",Yes,Not Required,Abstract,Geometric
stock_0013_pattern_floral.png,ArtDeco Hand-Drawn Seamless Pattern - Navy Variant,"Seamless tileable art deco pattern in hand-drawn sketch style with navy, blue, gold color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, hand drawn, sketch, line art, ink, doodle, illustration, drawing, handmade, organic, freehand, navy, navy blue, dark blue, premium",geometric,art deco,hand-drawn,"navy, blue, gold",Yes,Not Required,Abstract,Geometric
stock_0014_pattern_floral.png,ArtDeco Hand-Drawn Seamless Pattern - Earth Variant,"Seamless tileable art deco pattern in hand-drawn sketch style with earth, gold, green color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, hand drawn, sketch, line art, ink, doodle, illustration, drawing, handmade, organic, freehand, earth tones, terracotta, sage, natural colors",geometric,art deco,hand-drawn,"earth, gold, green",Yes,Not Required,Abstract,Geometric
stock_0015_pattern_floral.png,ArtDeco Hand-Drawn Seamless Pattern - Gold Variant,"Seamless tileable art deco pattern in hand-drawn sketch style with gold color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, hand drawn, sketch, line art, ink, doodle, illustration, drawing, handmade, organic, freehand, golden, metallic",geometric,art deco,hand-drawn,gold,Yes,Not Required,Abstract,Geometric
stock_0016_pattern_floral.png,ArtDeco Hand-Drawn Seamless Pattern - Coral Variant,"Seamless tileable art deco pattern in hand-drawn sketch style with coral, gold color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, hand drawn, sketch, line art, ink, doodle, illustration, drawing, handmade, organic, freehand, coral, warm, sunset, warm tones",geometric,art deco,hand-drawn,"coral, gold",Yes,Not Required,Abstract,Geometric
stock_0017_pattern_floral.png,ArtDeco Hand-Drawn Seamless Pattern - Navy Variant,"Seamless tileable art deco pattern in hand-drawn sketch style with navy, gold, cool ocean color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, hand drawn, sketch, line art, ink, doodle, illustration, drawing, handmade, organic, freehand, navy, navy blue, dark blue, premium",geometric,art deco,hand-drawn,"navy, gold, cool ocean",Yes,Not Required,Abstract,Geometric
stock_0018_pattern_floral.png,MoroccanTile FlatVector Seamless Pattern - Pastel Variant,"Seamless tileable moroccan tile pattern in flat vector illustration style with pastel, pink, mint, green color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, pastel, pastel colors",geometric,moroccan tile,flat vector,"pastel, pink, mint, green",Yes,Not Required,Abstract,Geometric
stock_0019_pattern_floral.png,MoroccanTile FlatVector Seamless Pattern - Navy Variant,"Seamless tileable moroccan tile pattern in flat vector illustration style with navy, blue, gold color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, navy, navy blue",geometric,moroccan tile,flat vector,"navy, blue, gold",Yes,Not Required,Abstract,Geometric
stock_0020_pattern_floral.png,MoroccanTile FlatVector Seamless Pattern - Earth Variant,"Seamless tileable moroccan tile pattern in flat vector illustration style with earth, green color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, earth tones, terracotta",geometric,moroccan tile,flat vector,"earth, green",Yes,Not Required,Abstract,Geometric
stock_0021_pattern_floral.png,MoroccanTile FlatVector Seamless Pattern - Pastel Variant,"Seamless tileable moroccan tile pattern in flat vector illustration style with pastel color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, pastel, pastel colors",geometric,moroccan tile,flat vector,pastel,Yes,Not Required,Abstract,Geometric
stock_0022_pattern_floral.png,MoroccanTile FlatVector Seamless Pattern - Coral Variant,"Seamless tileable moroccan tile pattern in flat vector illustration style with coral color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, coral, warm",geometric,moroccan tile,flat vector,coral,Yes,Not Required,Abstract,Geometric
stock_0023_pattern_floral.png,MoroccanTile FlatVector Seamless Pattern - Navy Variant,"Seamless tileable moroccan tile pattern in flat vector illustration style with navy, cool ocean color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, navy, navy blue",geometric,moroccan tile,flat vector,"navy, cool ocean",Yes,Not Required,Abstract,Geometric
stock_0024_pattern_floral.png,MoroccanTile Watercolor Seamless Pattern - Pastel Variant,"Seamless tileable moroccan tile pattern in watercolor painting style with pastel, pink, mint, green color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, pastel, pastel colors, soft colors, light, pale",geometric,moroccan tile,watercolor,"pastel, pink, mint, green",Yes,Not Required,Abstract,Geometric
stock_0025_pattern_floral.png,MoroccanTile Watercolor Seamless Pattern - Navy Variant,"Seamless tileable moroccan tile pattern in watercolor painting style with navy, blue, gold color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, navy, navy blue, dark blue, gold, luxury",geometric,moroccan tile,watercolor,"navy, blue, gold",Yes,Not Required,Abstract,Geometric
stock_0026_pattern_floral.png,MoroccanTile Watercolor Seamless Pattern - Earth Variant,"Seamless tileable moroccan tile pattern in watercolor painting style with earth, green color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, earth tones, terracotta, sage, natural colors, muted",geometric,moroccan tile,watercolor,"earth, green",Yes,Not Required,Abstract,Geometric
stock_0027_pattern_floral.png,MoroccanTile Watercolor Seamless Pattern - Pastel Variant,"Seamless tileable moroccan tile pattern in watercolor painting style with pastel color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, pastel, pastel colors, soft colors, light, pale",geometric,moroccan tile,watercolor,pastel,Yes,Not Required,Abstract,Geometric
stock_0028_pattern_floral.png,MoroccanTile Watercolor Seamless Pattern - Coral Variant,"Seamless tileable moroccan tile pattern in watercolor painting style with coral color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, coral, warm, sunset, warm tones",geometric,moroccan tile,watercolor,coral,Yes,Not Required,Abstract,Geometric
stock_0029_pattern_floral.png,MoroccanTile Watercolor Seamless Pattern - Navy Variant,"Seamless tileable moroccan tile pattern in watercolor painting style with navy, cool ocean color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, navy, navy blue, dark blue, gold, luxury",geometric,moroccan tile,watercolor,"navy, cool ocean",Yes,Not Required,Abstract,Geometric
stock_0030_pattern_floral.png,MoroccanTile Hand-Drawn Seamless Pattern - Pastel Variant,"Seamless tileable moroccan tile pattern in hand-drawn sketch style with pastel, pink, mint, green color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, hand drawn, sketch, line art, ink, doodle, illustration, drawing, handmade, organic, freehand, pastel, pastel colors, soft colors, light",geometric,moroccan tile,hand-drawn,"pastel, pink, mint, green",Yes,Not Required,Abstract,Geometric
stock_0031_pattern_floral.png,MoroccanTile Hand-Drawn Seamless Pattern - Navy Variant,"Seamless tileable moroccan tile pattern in hand-drawn sketch style with navy, blue, gold color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, hand drawn, sketch, line art, ink, doodle, illustration, drawing, handmade, organic, freehand, navy, navy blue, dark blue, gold",geometric,moroccan tile,hand-drawn,"navy, blue, gold",Yes,Not Required,Abstract,Geometric
stock_0032_pattern_floral.png,MoroccanTile Hand-Drawn Seamless Pattern - Earth Variant,"Seamless tileable moroccan tile pattern in hand-drawn sketch style with earth, green color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, hand drawn, sketch, line art, ink, doodle, illustration, drawing, handmade, organic, freehand, earth tones, terracotta, sage, natural colors",geometric,moroccan tile,hand-drawn,"earth, green",Yes,Not Required,Abstract,Geometric
stock_0033_pattern_floral.png,MoroccanTile Hand-Drawn Seamless Pattern - Pastel Variant,"Seamless tileable moroccan tile pattern in hand-drawn sketch style with pastel color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, hand drawn, sketch, line art, ink, doodle, illustration, drawing, handmade, organic, freehand, pastel, pastel colors, soft colors, light",geometric,moroccan tile,hand-drawn,pastel,Yes,Not Required,Abstract,Geometric
stock_0034_pattern_floral.png,MoroccanTile Hand-Drawn Seamless Pattern - Coral Variant,"Seamless tileable moroccan tile pattern in hand-drawn sketch style with coral color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, hand drawn, sketch, line art, ink, doodle, illustration, drawing, handmade, organic, freehand, coral, warm, sunset, warm tones",geometric,moroccan tile,hand-drawn,coral,Yes,Not Required,Abstract,Geometric
stock_0035_pattern_floral.png,MoroccanTile Hand-Drawn Seamless Pattern - Navy Variant,"Seamless tileable moroccan tile pattern in hand-drawn sketch style with navy, cool ocean color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, moroccan, morocco, arabesque, islamic, mandala, boho, hand drawn, sketch, line art, ink, doodle, illustration, drawing, handmade, organic, freehand, navy, navy blue, dark blue, gold",geometric,moroccan tile,hand-drawn,"navy, cool ocean",Yes,Not Required,Abstract,Geometric
